name,ra_j2000_formula,dec_j2000_formula
USco J160603.75-221930.0,241.5157,-22.325
USco J160714.79-232101.2,241.8116,-23.3504
USco J160606.29-233513.3,241.5262,-23.587
USco J160727.82-223904.0,241.8659,-22.651
USco J160723.82-221102.0,241.8493,-22.1839
USco J160828.47-231510.4,242.1187,-23.2529
USco J161441.68-235105.9,243.6737,-23.8516
USco J160818.43-223225.0,242.0768,-22.5403
PSO J239.7016-23.2664,239.7016,-23.2664
USco1556 B,239.0977,-25.6849
USco1621 B,245.368,-25.4989
USco J154722.82-213914.3,236.8451,-21.6539
USco J161228.95-215936.1,243.1206,-21.9933
2MASSW J0208183+254253,32.0766,25.7148
DENIS-P J154747.2-242349,236.9466,-24.3971
SDSS J155644.35+172308.9,239.1848,17.3858
2MASSW J0208549+250048,32.2292,25.0135
SDSS J133316.06+374421.7,203.3169,37.7393
2MASS J00550564+0134365,13.7736,1.5769
PSO J346.5281-15.9406,346.5277,-15.9407
2MASSI J1600054+170832,240.0228,17.1424
WISEA J010202.11+035541.4,15.5077,3.928
2MASS J13264464+3627407,201.686,36.4613
2MASS J00521232+0012172,13.0515,0.2049
2MASSW J0036159+182110,9.0671,18.3529
2MASS J15500845+1455180,237.5352,14.9215
SDSSp J010752.33+004156.1,16.968,0.6991
2MASS J13364062+3743230,204.1691,37.723
SDSS J004154.54+134135.5,10.4773,13.6932
2MASS J13061727+3820296,196.572,38.3416
SDSS J135712.40+142839.8,209.3016,14.4778
WISEPA J020625.26+264023.6,31.6048,26.673
SIMP J12113013+0406096,182.8756,4.1027
2MASSW J0820299+450031,125.1249,45.0087
SDSS J104409.43+042937.6,161.0393,4.4938
SDSS J154849.02+172235.4,237.2046,17.3766
WISEA J004403.39+022810.6,11.0138,2.4698
SDSSp J005406.55-003101.8,13.5274,-0.5173
2MASS J13580384+1458204,209.516,14.9723
WISEA J103602.80+030615.6,159.0129,3.1044
WISEA J041232.77+104408.3,63.1362,10.7355
SDSS J003843.99+134339.5,9.6833,13.7276
WISEA J131845.58+362614.0,199.6903,36.4372
ULAS J134414.90+092405.0,206.0619,9.4013
SDSS J104625.76+042441.0,161.6073,4.4113
ULAS J141203.85+121609.9,213.0165,12.2694
2MASS J13170488+3447513,199.2704,34.7976
2MASS J03552337+1133437,58.8474,11.5622
SDSS J104842.84+011158.5,162.1784,1.1995
2MASSW J0228110+253738,37.046,25.6273
DENIS J0031192-384035,7.8304,-38.6767
2MASS J13313310+3407583,202.888,34.1328
2MASSW J1615441+355900,243.934,35.9832
2MASS J00165953-4056541,4.2481,-40.9483
2MASS J14075361+1241099,211.9734,12.6861
SDSS J034408.91+011124.9,56.0372,1.1903
2MASSW J0147334+345311,26.8894,34.8864
SDSSp J144600.60+002452.0,221.5025,0.4144
2MASSW J0208236+273740,32.0986,27.6277
SDSS J080959.01+443422.2,122.4948,44.5719
WISEPC J004928.48+044100.1,12.3678,4.6826
2MASS J00344300-4102266,8.6792,-41.0407
SDSS J104922.45+012559.2,162.3435,1.4331
WISEP J131141.91+362925.2,197.9259,36.4899
SDSS J085805.47+221457.8,134.5229,22.2495
SIMP J16055741+1931115,241.4892,19.5199
SIMP J03570493+1529270,59.2707,15.4907
HIP 63506C,195.2108,42.2464
SDSS J035308.54+103056.0,58.2853,10.5157
PSO J057.2893+15.2433,57.2892,15.2437
2MASS J04234652+0843211,65.9438,8.7225
2MASS J12123389+0206280,183.1412,2.1078
ULAS J121238.72+000721.9,183.1614,0.1227
SDSS J042230.66+072342.9,65.6274,7.3958
ULAS J014103.30+131832.6,25.2633,13.3104
CWISE J042731.38+074344.9,66.8803,7.7294
WISEA J020229.29+230513.9,30.6215,23.0871
SDSS J142612.86+313039.4,216.5538,31.5111
WISEA J002050.25-151913.1,5.2089,-15.3203
2MASS J14193789+3333326,214.9077,33.5591
2MASSI J0224367+253704,36.1529,25.6179
2MASS J01001471-0301494,15.0613,-3.0304
2MASS J00135882-1816462,3.4953,-18.2797
ULAS J141710.01+131737.1,214.292,13.2936
2MASSI J0104075-005328,16.0315,-0.8913
2MASS J01394906+3427226,24.9545,34.4563
WISEA J034409.71+013641.5,56.0405,1.6123
SDSSp J131415.52-000848.1,198.5647,-0.1467
WISEA J032838.73+015517.7,52.1609,1.9222
2MASS J16091143+2116584,242.2977,21.2829
2MASS J00062250+1300451,1.5937,13.0125
SDSS J143211.74-005900.8,218.0489,-0.9835
2MASS J08443811+2226161,131.1588,22.4378
WISEA J003052.08-380829.6,7.7166,-38.1414
SDSS J103026.78+021306.4,157.6117,2.2185
2MASSW J0045214+163445,11.3392,16.5791
2MASSW J1155395-372735,178.9147,-37.4599
SDSSp J120358.19+001550.3,180.9922,0.2639
SDSSp J085758.45+570851.4,134.4936,57.1476
2MASSI J0825196+211552,126.3317,21.2643
2MASSI J1430435+291540,217.6815,29.2613
2MASSW J1338261+414034,204.6089,41.676
DENIS-P J1159+0057,179.9104,0.9574
2MASS J00285545-1927165,7.231,-19.4546
2MASS J01311838+3801554,22.8267,38.0321
DENIS-P J104731.1-181558,161.8794,-18.266
2MASS J00332386-1521309,8.3495,-15.3586
SDSS J132715.21+075937.5,201.8136,7.9938
2MASS J16304139+0938446,247.6725,9.6457
SDSS J080531.84+481233.0,121.3827,48.2092
2MASS J10513331-1916530,162.8888,-19.2814
2MASS J00193927-3724392,4.9137,-37.4109
SDSS J085836.98+271050.8,134.6539,27.1811
SDSS J084333.28+102443.5,130.8885,10.4131
2MASSW J1343167+394508,205.8194,39.7525
SDSSp J033035.13-002534.5,52.6464,-0.4264
2MASSI J0856479+223518,134.1996,22.5884
SDSS J162603.03+211313.0,246.5126,21.2204
Hya05,59.679,10.6609
2MASSW J0030438+313932,7.6827,31.6589
2MASSI J0006205-172051,1.5854,-17.3475
SIMP J10035482-1441534,150.9783,-14.6981
2MASS J00133470+1109403,3.3946,11.1612
2MASS J02411151-0326587,40.298,-3.4497
SDSSp J032817.38+003257.2,52.0725,0.5492
SIMP J11411438+1941149,175.3099,19.6874
CWISE J031042.59+204629.3,47.6767,20.7749
2MASSW J1553214+210907,238.3392,21.1521
2MASSI J0028394+150141,7.1643,15.0282
HIP 6407B,20.5707,3.5232
PSO J316.1306-09.6562,316.1304,-9.6561
SDSS J000646.81+151225.8,1.695,15.2072
SIMP J23225888+1300322,350.7455,13.0087
SDSSp J003259.36+141036.6,8.2473,14.1769
WISEA J143211.17+324433.8,218.0469,32.7427
WISEA J022721.93+235654.3,36.8403,23.9488
SDSS J144016.20+002638.9,220.0675,0.4441
SDSS J134329.01+131226.2,205.8712,13.2074
SDSS J000632.60+140606.3,1.6358,14.1018
SIMP J14111847+2948515,212.827,29.8143
2MASS J15565004+1449081,239.2083,14.8192
2MASS J23053808+0524070,346.4087,5.402
SDSS J143933.44+031759.2,219.8893,3.2997
2MASS J04380349+0700551,69.5146,7.0153
SDSS J134203.11+134022.2,205.5129,13.6729
2MASS J16095469+1426422,242.4779,14.4451
2MASS J00435012+0928429,10.9589,9.4786
ULAS J034150.21+042324.9,55.4594,4.3903
SIMP J01481626+3712421,27.0678,37.2117
2MASS J21163374-0729200,319.1405,-7.4889
2MASS J11060459-1907025,166.5191,-19.1174
SIMP J04292691+0607368,67.3622,6.1269
WISEA J232219.45-140726.2,350.5799,-14.1233
2MASS J04241856+0637448,66.0774,6.6293
SDSS J161626.46+221859.2,244.1104,22.3165
SDSS J143535.72-004347.0,218.8989,-0.7298
2MASS J14124574+3403074,213.1906,34.0521
2MASS J14232186+6154005,215.8408,61.9001
PSO J158.1597+05.2231,158.1603,5.2234
2MASS J16360752+2336011,249.0314,23.6003
PSO J060.3200+25.9645,60.3199,25.9646
ULAS J223636.89+011132.3,339.1539,1.1924
2MASS J03140344+1603056,48.5143,16.0515
2MASS J10511900+5613086,162.8291,56.2191
2MASSW J1146345+223053,176.6438,22.5146
2MASSI J2104149-103736,316.0623,-10.627
2MASS J00464841+0715177,11.7017,7.2549
DENIS-P J225210.73-173013.4,343.0448,-17.5039
2MASS J12565688+0146163,194.237,1.7712
SIPS J0050-1538,12.6017,-15.6387
2MASSI J1104012+195921,166.0053,19.9894
2MASP J0345432+254023,56.4298,25.6731
2MASSI J0408290-145033,62.1211,-14.8427
2MASS J21371044+1450475,324.2935,14.8466
2MASS J13384944+0437315,204.706,4.6254
2MASSI J2107316-030733,316.882,-3.126
2MASSW J0135358+120522,23.8994,12.0894
2MASSW J1246467+402715,191.6949,40.4542
2MASS J17111353+2326333,257.8063,23.4426
SSSPM J2310-1759,347.577,-17.986
2MASSI J0316451-284852,49.1881,-28.8145
2MASS J14283132+5923354,217.1304,59.3932
DENIS J1004403-131818,151.1679,-13.3053
2MASS J04012977-4050448,60.3741,-40.8458
GJ 618.1B,245.109,-4.2755
2MASS J23211254-1326282,350.3024,-13.4412
2MASS J17461199+5034036,266.5499,50.5676
2MASS J15392137+6502364,234.8391,65.0435
SSSPM J2400-2008,359.9902,-20.1279
2MASSI J1059513-211308,164.9642,-21.219
2MASS J04070752+1546457,61.7814,15.7793
SDSS J000112.18+153535.5,0.3007,15.5932
2MASS J09054654+5623117,136.4439,56.3866
2MASS J10430758+2225236,160.7815,22.4234
2MASS J04203904+2355502,65.1626,23.9306
WISE J162359.70-050811.4,245.9992,-5.1353
2MASS J15311344+1641282,232.806,16.6912
2MASS J13204427+0409045,200.1845,4.1513
2MASSW J0310599+164816,47.7495,16.8043
SDSS J093113.23+280227.1,142.8047,28.0412
SIMP J23094559+1003122,347.4399,10.0535
NLTT 44368B,257.989,54.5113
SDSS J081757.49+182405.0,124.4895,18.4014
WISE J080700.23+413026.8,121.7511,41.5084
SDSSp J125737.26-011336.1,194.4053,-1.2268
PM I13518+4157B,207.9478,41.9633
PSO J149.0341-14.7857,149.0339,-14.7853
WISE J173332.50+314458.3,263.3865,31.7493
SDSSp J224953.45+004404.2,342.4727,0.7346
GD 165B,216.1629,9.2863
2MASSI J0241536-124106,40.4738,-12.6853
SDSS J083506.16+195304.4,128.7759,19.8847
2MASS J03274091-3148156,51.9204,-31.8043
2MASSW J0030300-145033,7.6256,-14.8427
SIMP J01512665+3824122,27.8611,38.4034
2MASS J00150673+3006004,3.7781,30.1001
2MASS J17081563+2557474,257.0651,25.9632
CWISE J014611.20-050850.0,26.5464,-5.1463
SDSS J023547.56-084919.8,38.9482,-8.8222
PSO J353.6355+13.2209,353.6354,13.2209
SDSS J080048.13+465825.5,120.2006,46.9738
SDSSp J023617.93+004855.0,39.0748,0.8152
SDSS J140023.12+433822.3,210.0966,43.6394
2MASS J03530419+0418193,58.2674,4.3054
WISEA J145642.68+645009.7,224.1792,64.8358
WISEA J003338.45+282732.4,8.4111,28.4597
SIMP J04173264-1345388,64.386,-13.7609
Hya03,62.5996,14.9862
SDSS J101742.51+431057.9,154.4271,43.1828
SDSS J213240.36+102949.4,323.1681,10.497
SDSS J151506.11+443648.3,228.7753,44.6134
2MASSW J0801405+462850,120.4189,46.4803
SIMP J22455168+1722276,341.4653,17.3747
SDSS J161731.65+401859.7,244.3819,40.3167
SDSS J091750.34+294445.0,139.4598,29.7459
2MASSW J0129122+351758,22.3011,35.2995
SDSS J085116.20+181730.0,132.8178,18.2917
SDSS J173101.41+531047.9,262.7559,53.18
WISEA J000627.85+185728.8,1.6158,18.9587
SIMP J22543828+1640488,343.6595,16.6801
SIMP J04210695-1133431,65.2791,-11.562
2MASS J0249-0557 c,42.4766,-5.9671
2MASSI J0328426+230205,52.1776,23.0348
SDSS J143242.10+345142.7,218.1757,34.8619
WISEA J014535.23-031412.9,26.3965,-3.2366
2MASS J01341675-0546530,23.5698,-5.7814
PSO J231.7900-26.4494,231.79,-26.4494
2MASS J10293958+5715445,157.4148,57.2623
SIMP J16280690+0517027,247.0287,5.2841
2MASS J01262109+1428057,21.5879,14.4683
ULAS J013243.81+055232.2,23.1822,5.8755
SDSS J112615.25+012048.2,171.5638,1.3467
SDSS J090023.68+253934.3,135.0987,25.6596
WISEA J045900.42-285338.3,74.7516,-28.8942
SDSS J020608.97+223559.2,31.537,22.5998
WISEA J004713.81-371033.7,11.8061,-37.1744
2MASS J08270185+4129191,126.7578,41.4886
PM I13410+0542B,205.2598,5.7135
PSO J023.8557+02.0884,23.8555,2.0898
SIMP J23302193+1006003,352.5915,10.1002
WISEA J170726.69+545109.3,256.8621,54.8533
2MASSI J1711457+223204,257.9405,22.5345
SIMP J11430272+1905440,175.7613,19.0953
2MASS J23004298+0200145,345.1791,2.004
SDSS J012743.51+135420.9,21.9313,13.9058
2MASS J03492367+0635078,57.3486,6.5855
2MASS J12172372-0237369,184.3489,-2.6269
SIMP J21174252-0611132,319.4271,-6.187
2MASS J15293306+6730215,232.3878,67.506
2MASS J09083688+5526401,137.1536,55.4445
SIMP J17084651+260644,257.1938,26.1125
2MASS J00501561+1012431,12.5651,10.212
2MASS J21203387-0747208,320.1412,-7.7891
SDSS J161459.98+400435.1,243.7501,40.0763
2MASS J16194822-0425366,244.9509,-4.4268
WISEA J232307.08+054113.0,350.7801,5.6873
SDSS J171147.17+233130.5,257.9465,23.5252
PSO J229.2354-26.6737,229.2355,-26.6737
ULAS J084849.71+071512.0,132.2071,7.2541
SIMP J02512861-0818254,42.8691,-8.3072
2MASS J17440969+5135032,266.0404,51.5842
2MASS J16123860+3126489,243.1609,31.4469
SIMP J13391950+1523440,204.8311,15.3954
SDSS J162255.27+115924.1,245.7304,11.99
SIMP J10441549+0620138,161.0646,6.3373
ULAS J143615.75+072056.8,219.0655,7.3492
SDSS J162051.17+323732.1,245.213,32.6256
2MASS J16005759+3021571,240.2399,30.3659
SDSS J213352.72+101841.0,323.4696,10.3112
ULAS J135556.12+085054.3,208.984,8.8486
WISEA J025954.88-314655.6,44.9793,-31.7817
2MASS J16135698+4019158,243.4872,40.3212
2MASS J10592523+5659596,164.8551,57
2MASS J01412651+1001339,25.3605,10.0261
2MASS J01343635-0145444,23.6515,-1.7624
SIMP J11473434+2153590,176.8932,21.8998
2MASS J12453705+4028456,191.4045,40.4793
2MASS J16410015+1335591,250.2506,13.5997
ULAS J140152.43+090733.1,210.4687,9.1258
SIMP J22484809-0126570,342.2005,-1.449
2MASSI J0746425+200032,116.6772,20.0089
2MASS J17072343-0558249,256.8476,-5.9737
LSR J0602+3910,90.6269,39.1829
2MASS J17312974+2721233,262.8739,27.3565
Kelu-1,196.4174,-25.6849
2MASSI J0251148-035245,42.8125,-3.88
2MASSI J1807159+501531,271.8164,50.2588
WISE J040137.21+284951.7,60.4066,28.8313
2MASSI J1438082+640836,219.5345,64.1434
2MASS J05002100+0330501,75.0875,3.5139
2MASSI J1045240-014957,161.3499,-1.8327
2MASSW J1552591+294849,238.2461,29.8135
2MASSI J0445538-304820,71.4746,-30.8057
2MASS J01443536-0716142,26.1475,-7.2706
2MASS J05431887+6422528,85.8285,64.3814
2MASSW J1515008+484742,228.7536,48.7948
2MASS J02271036-1624479,36.793,-16.4132
2MASS J10224821+5825453,155.7009,58.4293
Gaia J041246.85-073416.8,63.1934,-7.5695
2MASSW J1448256+103159,222.1068,10.5331
2MASS J01282664-5545343,22.111,-55.7595
WISE J062442.37+662625.6,96.174,66.442
2MASS J05012406-0010452,75.3504,-0.1793
2MASS J02572581-3105523,44.3577,-31.0978
DENIS-P J1058.7-1548,164.6993,-15.8048
WISEA J050048.17+044214.2,75.2004,4.704
2MASS J06022216+6336391,90.5924,63.6108
2MASS J00531899-3631102,13.3291,-36.5195
DENIS-P J144137.2-094558,220.4048,-9.7665
2MASS J17114559+4028578,257.9401,40.4827
2MASS J16573454+1054233,254.394,10.9065
2MASSI J0512063-294954,78.0265,-29.8316
SIMP J04172478+1634364,64.3533,16.5768
DENIS-P J035726.9-441730,59.3623,-44.2918
2MASS J11533966+5032092,178.4153,50.5359
SDSS J171714.10+652622.2,259.3086,65.4395
SSSPM J0219-1939,34.8669,-19.6448
2MASS J01550354+0950003,28.7648,9.8334
DENIS J2354599-185221,358.7497,-18.8727
2MASSI J2254519-284025,343.7164,-28.6737
2MASS J03185403-3421292,49.7253,-34.3581
2MASSW J0051107-154417,12.795,-15.738
2MASSW J2244316+204343,341.1322,20.7285
DENIS J1206501-393725,181.7088,-39.6239
2MASSI J1315309-264951,198.8786,-26.8311
2MASSW J0829066+145622,127.2776,14.9395
2MASSW J1326201-272937,201.5836,-27.4936
2MASS J12073804-3909050,181.9085,-39.1514
2MASS J03582255-4116060,59.5939,-41.2683
2MASS J03264225-2102057,51.6761,-21.035
DENIS J2308113-272200,347.0475,-27.3668
SDSS J153453.33+121949.2,233.722,12.3304
2MASSW J1035245+250745,158.8522,25.1291
2MASS J16062665+6837268,241.611,68.6241
2MASSI J0443058-320209,70.7743,-32.0358
2MASS J21321145+1341584,323.0477,13.6995
2MASS J00282091+2249050,7.0875,22.8178
SDSSp J083008.12+482847.4,127.534,48.4799
HIP 2397B,7.6033,22.7469
2MASSW J1632291+190441,248.1216,19.0779
2MASS J03101401-2756452,47.5583,-27.946
SDSS J142257.15+082752.1,215.7383,8.465
SDSS J001911.65+003017.8,4.7986,0.5049
2MASS J02265658-5327032,36.7358,-53.4509
SDSSp J132629.82-003831.5,201.6242,-0.6421
2MASS J03250136+2253039,51.2559,22.8843
2MASSI J0409095+210439,62.2897,21.0775
SDSS J115553.86+055957.5,178.9747,5.9994
2MASSI J0013578-223520,3.4908,-22.589
2MASS J17392515+2454421,264.8548,24.9118
PSO J243.9421+67.2075,243.9431,67.2073
2MASS J04474307-1936045,71.9295,-19.6013
SIMP J11220855+0343193,170.5357,3.7221
SDSS J133148.92-011651.4,202.9538,-1.2809
SDSS J094047.88+294653.0,145.1996,29.7815
SDSS J125137.76+462025.9,192.9074,46.3408
SIMP J11322058-3809562,173.0858,-38.1656
SDSS J145325.89+142041.8,223.3577,14.3447
2MASS J04250679-4255085,66.2783,-42.9191
2MASSW J0850359+105716,132.6496,10.9544
SIMP J1501530-013506,225.4709,-1.5853
SDSS J121951.45+312849.4,184.9647,31.4804
2MASSW J0944027+313132,146.0116,31.5258
SDSS J172244.32+632946.8,260.6847,63.4963
SIMP J02110979-1427349,32.7908,-14.4598
PSO J348.8808+06.2873,348.8807,6.2874
2MASSW J0355419+225702,58.9247,22.9505
2MASS J12074836-3900043,181.9515,-39.0012
2MASS J18131803+5101246,273.325,51.0236
PSO J052.7214-03.8409,52.7218,-3.8411
PSO J007.9194+33.5961,7.9195,33.5961
WISEA J095729.41+462413.5,149.3743,46.4048
WISEA J022609.16-161000.4,36.5377,-16.1665
2MASS J10271549+5445175,156.8146,54.7549
2MASS J00150206+2959323,3.7586,29.9923
2MASS J01244599-5745379,21.1916,-57.7606
SDSS J143832.63+572216.9,219.6359,57.3714
SDSS J163359.23-064056.5,248.4972,-6.6821
PSO J135.0395+32.0845,135.0399,32.0846
SDSS J163030.53+434404.0,247.6273,43.7343
SDSS J001608.44-004302.3,4.0352,-0.7174
2MASS J04185879-4507413,64.745,-45.1282
PSO J231.8943-29.0599,231.8943,-29.0599
ULAS2MASS J1452+1114,223.0076,11.2498
2MASS J01183399+1810542,19.6416,18.1817
SIMP J04175143-1838320,64.4645,-18.6422
2MASS J13184794+1736117,199.6998,17.6032
2MASS J14403186-1303263,220.1329,-13.0573
SIMP J04005763-1322024,60.2401,-13.3674
2MASS J12304562+2827583,187.6901,28.4662
WISEA J112859.45+511016.8,172.2483,51.1722
PSO J054.3866+11.5361,54.3865,11.5362
SDSS J164439.66+260013.3,251.1652,26.0036
ULAS J122325.69+044827.6,185.8571,4.8077
SDSS J115013.17+052012.3,177.555,5.3369
SDSS J081253.19+372104.2,123.2217,37.3512
PSO J342.3797-16.4665,342.3785,-16.467
NLTT 26746B,168.7561,16.1174
2MASS J12563961-2718455,194.165,-27.3126
2MASS J00065552+0236376,1.7315,2.6104
WISEA J032440.23-191905.6,51.168,-19.3176
SDSS J084106.85+603506.3,130.2785,60.5852
2MASS J14313545-0313117,217.8977,-3.2199
WISEA J043642.75+190134.8,69.1779,19.0264
PSO J341.7509-15.1075,341.7507,-15.1077
2MASSW J0306268+154514,46.612,15.7536
2MASS J04232191-0803051,65.8413,-8.0514
2MASS J17320014+2656228,263.0006,26.9397
2MASS J11191046+0552484,169.7936,5.8801
2MASSI J0302012+135814,45.5051,13.9706
SDSS J112647.03+581632.2,171.6959,58.2757
WISEA J000622.67-131955.2,1.5953,-13.3308
WISE J023038.90-022554.0,37.6612,-2.4319
2MASS J01340281+0508125,23.5118,5.1368
2MASS J02304442-3027275,37.6851,-30.4575
PSO J344.8146+20.1917,344.8145,20.1917
WISEA J000131.93-084126.9,0.382,-8.69
WISEA J120104.57+573004.2,180.2684,57.5011
CWISE J033817.87+171744.1,54.5738,17.2958
SDSS J225913.88-005158.2,344.8079,-0.8662
2MASS J13042886-0032410,196.1203,-0.5448
WISEA J144033.28-080406.9,220.138,-8.068
WISEA J153358.52+475706.9,233.4944,47.9518
SIMP J10390822+2440446,159.7842,24.679
WISE J151314.61+401935.6,228.3106,40.3265
SIMP J14154242+2635040,213.9268,26.5844
SDSS J074007.30+200921.9,115.0297,20.1559
BD+60 1417B,190.885,60.0242
2MASS J17153111+1054108,258.8796,10.903
WISEA J225333.00-253948.0,343.387,-25.6633
WISEA J215550.34-195428.4,328.9599,-19.9068
2MASS J04373705+2331080,69.4044,23.5188
SIMP J16133450-0747057,243.3936,-7.785
2MASS J16382073+1327354,249.5864,13.4597
2MASS J09175418+6028065,139.4757,60.4685
PSO J175.2003+16.1403,175.2003,16.1404
SDSS J135923.99+472843.2,209.85,47.4787
SIMP J09514402-1343474,147.9333,-13.7299
2MASS J16370238+2520386,249.26,25.3441
2MASS J13023811+5650212,195.6588,56.8392
PSO J346.3203-11.1654,346.3199,-11.1655
SIMP J08511977+1043470,132.8322,10.7298
PSO J350.4673-19.0783,350.4671,-19.0782
PSO J127.4696+10.5777,127.4697,10.5778
2MASS J11282763+5934003,172.115,59.5667
2MASS J12352675+4124310,188.8613,41.4087
2MASS J02292794-0053282,37.3665,-0.8912
2MASS J10524963+1858151,163.2067,18.9709
ULAS J230424.80+130111.3,346.1035,13.0201
SDSS J084016.42+543002.1,130.0685,54.5006
ULAS J112029.65-004440.6,170.1235,-0.7446
SDSS J003609.26+241343.3,9.0386,24.2287
ULAS J031451.72+045346.2,48.7155,4.8961
WISE J222219.93+302601.4,335.5829,30.433
SIMP J00132128+0841006,3.3389,8.6835
2MASS J04144158+2809583,63.6731,28.1663
SIMP J03314657+1944246,52.9441,19.7401
2MASS J10551343+2504028,163.8058,25.0674
PSO J228.6775-29.7088,228.6774,-29.7088
SIMP J00081285+0806441,2.0536,8.1122
2MASS J14192618+5919047,214.8593,59.3179
ULAS J001836.51-002559.1,4.6519,-0.4331
SIMP J11303803+2341480,172.6584,23.6967
SDSS J142227.25+221557.1,215.6134,22.2659
SIMP J10520466+1722433,163.0197,17.3787
LP 944-20,54.8969,-35.4288
2MASSW J1507476-162738,226.9487,-16.4611
LHS 102BC,1.1453,-40.7351
SSSPM J0829-1309,127.1424,-13.1555
DENIS-P J142527.97-365023.4,216.3666,-36.8398
2MASSW J1439284+192915,219.8673,19.4878
2MASSW J1506544+132106,226.7264,13.3517
2MASSW J1300425+191235,195.1771,19.2096
2MASSW J2224438-015852,336.1827,-1.9815
DENIS-P J170548.38-051645.7,256.4514,-5.2795
G 196-3B,151.086,50.3832
2MASS J13475911-7610054,206.9961,-76.1681
2MASSW J0015447+351603,3.9366,35.2674
SSSPM J2307-5009,346.7449,-50.1497
2MASSI J0451009-340214,72.7539,-34.0375
2MASSI J1721039+334415,260.2651,33.738
2MASSI J0439010-235308,69.7542,-23.8857
DENIS-P J1745346-164053,266.3944,-16.6817
2MASSW J1239272+551537,189.8637,55.2603
2MASSI J0908380+503208,137.1584,50.5356
2MASSW J0141032+180450,25.2635,18.0806
2MASSI J1029216+162652,157.3404,16.4478
2MASS J05301261+6253254,82.5525,62.8904
DENIS J020529.0-115925,31.3724,-11.9916
2MASS J11544223-3400390,178.6759,-34.0109
2MASS J15230657-2347526,230.7773,-23.798
